,system_time,midpoint,spread,buys,sells,bids_distance_0,bids_distance_1,bids_distance_2,bids_distance_3,bids_distance_4,bids_distance_5,bids_distance_6,bids_distance_7,bids_distance_8,bids_distance_9,bids_distance_10,bids_distance_11,bids_distance_12,bids_distance_13,bids_distance_14,bids_notional_0,bids_notional_1,bids_notional_2,bids_notional_3,bids_notional_4,bids_notional_5,bids_notional_6,bids_notional_7,bids_notional_8,bids_notional_9,bids_notional_10,bids_notional_11,bids_notional_12,bids_notional_13,bids_notional_14,bids_cancel_notional_0,bids_cancel_notional_1,bids_cancel_notional_2,bids_cancel_notional_3,bids_cancel_notional_4,bids_cancel_notional_5,bids_cancel_notional_6,bids_cancel_notional_7,bids_cancel_notional_8,bids_cancel_notional_9,bids_cancel_notional_10,bids_cancel_notional_11,bids_cancel_notional_12,bids_cancel_notional_13,bids_cancel_notional_14,bids_limit_notional_0,bids_limit_notional_1,bids_limit_notional_2,bids_limit_notional_3,bids_limit_notional_4,bids_limit_notional_5,bids_limit_notional_6,bids_limit_notional_7,bids_limit_notional_8,bids_limit_notional_9,bids_limit_notional_10,bids_limit_notional_11,bids_limit_notional_12,bids_limit_notional_13,bids_limit_notional_14,bids_market_notional_0,bids_market_notional_1,bids_market_notional_2,bids_market_notional_3,bids_market_notional_4,bids_market_notional_5,bids_market_notional_6,bids_market_notional_7,bids_market_notional_8,bids_market_notional_9,bids_market_notional_10,bids_market_notional_11,bids_market_notional_12,bids_market_notional_13,bids_market_notional_14,asks_distance_0,asks_distance_1,asks_distance_2,asks_distance_3,asks_distance_4,asks_distance_5,asks_distance_6,asks_distance_7,asks_distance_8,asks_distance_9,asks_distance_10,asks_distance_11,asks_distance_12,asks_distance_13,asks_distance_14,asks_notional_0,asks_notional_1,asks_notional_2,asks_notional_3,asks_notional_4,asks_notional_5,asks_notional_6,asks_notional_7,asks_notional_8,asks_notional_9,asks_notional_10,asks_notional_11,asks_notional_12,asks_notional_13,asks_notional_14,asks_cancel_notional_0,asks_cancel_notional_1,asks_cancel_notional_2,asks_cancel_notional_3,asks_cancel_notional_4,asks_cancel_notional_5,asks_cancel_notional_6,asks_cancel_notional_7,asks_cancel_notional_8,asks_cancel_notional_9,asks_cancel_notional_10,asks_cancel_notional_11,asks_cancel_notional_12,asks_cancel_notional_13,asks_cancel_notional_14,asks_limit_notional_0,asks_limit_notional_1,asks_limit_notional_2,asks_limit_notional_3,asks_limit_notional_4,asks_limit_notional_5,asks_limit_notional_6,asks_limit_notional_7,asks_limit_notional_8,asks_limit_notional_9,asks_limit_notional_10,asks_limit_notional_11,asks_limit_notional_12,asks_limit_notional_13,asks_limit_notional_14,asks_market_notional_0,asks_market_notional_1,asks_market_notional_2,asks_market_notional_3,asks_market_notional_4,asks_market_notional_5,asks_market_notional_6,asks_market_notional_7,asks_market_notional_8,asks_market_notional_9,asks_market_notional_10,asks_market_notional_11,asks_market_notional_12,asks_market_notional_13,asks_market_notional_14
0,2021-04-07 11:37:59.055697+00:00,1.17255,0.0009,330639.0485909999,500585.4246710006,-0.0003837789408862,-0.0004690631467383,-0.0008101999992504,-0.0009807683527469,-0.0010660525877028,-0.0016630421159788,-0.0017483263509348,-0.0020894631743431,-0.002174747409299,-0.0022600316442549,-0.002430599881336,-0.0026011683512479,-0.0027717368211597,-0.0028570210561156,-0.0029423052910715,2461.409912109375,2996.7900390625,1071.4300537109375,20558.0703125,1000.0,1308.8199462890625,10656.4296875,3063.93994140625,29.25,1997.1700439453125,288.9200134277344,804.6199951171875,1389.1300048828125,25513.240234375,7818.93994140625,0.0,0.0,2996.97998046875,3474.47998046875,0.0,0.0,25248.98046875,0.0,0.0,0.0,1609.510009765625,0.0,2414.60009765625,13872.099609375,1609.8499755859375,2461.409912109375,2996.7900390625,4068.39990234375,24032.55078125,1000.0,1308.8199462890625,35905.421875,3063.93994140625,29.25,1997.1700439453125,1898.4200439453125,804.6199951171875,3803.72998046875,39385.33984375,9428.7900390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003837789408862,0.0007249157642945,0.0008101999992504,0.0008954841759987,0.0009807683527469,0.0012366210576146,0.0013219052925705,0.0014071894111111,0.001492473646067,0.0017483263509348,0.0019188947044312,0.0020041789393872,0.0020894631743431,0.0022600316442549,0.0028570210561156,1993.0899658203125,23057.310546875,1774.3299560546875,7004.669921875,20051.640625,10740.2900390625,482.55999755859375,13730.5,2847.679931640625,18005.439453125,808.260009765625,1000.0,808.4000244140625,808.5399780273438,1004.6900024414062,7389.89990234375,0.0,808.5399780273438,27550.689453125,808.6799926757812,808.8900146484375,21134.720703125,3877.510009765625,8572.3896484375,1616.25,0.0,0.0,0.0,0.0,101525.5,9392.6103515625,23057.310546875,2582.8701171875,34555.359375,20860.3203125,11549.1796875,21617.26953125,17608.009765625,11420.0703125,19621.689453125,808.260009765625,1000.0,808.4000244140625,808.5399780273438,102530.1875,9.619999885559082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-04-07 11:42:59.055697+00:00,1.1839,0.0014,264189.09015399986,139303.543714,-0.0005912661436013,-0.0006757327355444,-0.0009291325113736,-0.0010980657534673,-0.0011825322872027,-0.0013514654710888,-0.0014359321212396,-0.0015203986549749,-0.0016048653051257,-0.0016893318388611,-0.0017737984890118,-0.0018582650227472,-0.0021961315069347,-0.0022805980406701,-0.0023650645744055,5481.83984375,20763.400390625,806.6699829101562,999.989990234375,806.469970703125,550.3499755859375,11158.490234375,806.1900024414062,29.549999237060547,550.3499755859375,1662.3199462890625,1493.22998046875,24614.7109375,9218.830078125,4796.06005859375,0.0,2484.510009765625,0.0,1308.25,0.0,0.0,1757.9000244140625,0.0,0.0,0.0,2804.010009765625,0.0,21.82999992370605,21.82999992370605,24632.369140625,5481.83984375,23247.919921875,806.6699829101562,2308.25,806.469970703125,550.3499755859375,12916.3896484375,806.1900024414062,29.549999237060547,550.3499755859375,4466.330078125,1493.22998046875,24636.5390625,9240.66015625,29428.4296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005912661436013,0.0006757327355444,0.0010135991033166,0.0010980657534673,0.0011825322872027,0.0012669989373534,0.0013514654710888,0.0015203986549749,0.0016048653051257,0.0016893318388611,0.0017737984890118,0.0024495311081409,0.0025339978747069,0.0026184644084423,0.0027029309421777,5501.47998046875,2002.8299560546875,2032.199951171875,808.3099975585938,7114.9599609375,1486.43994140625,20861.109375,1482.9200439453125,808.719970703125,12364.400390625,5224.43994140625,1000.0,8022.18994140625,1202.4300537109375,36897.48828125,18087.109375,8932.669921875,0.0,0.0,0.0,8886.080078125,0.0,0.0,0.0,0.0,808.8499755859375,0.0,271.79998779296875,0.0,0.0,23697.009765625,10935.5,2032.199951171875,808.3099975585938,7114.9599609375,10372.51953125,20861.109375,1482.9200439453125,808.719970703125,12364.400390625,6033.2900390625,1000.0,8293.990234375,1202.4300537109375,36897.48828125,108.41000366210938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2021-04-07 11:47:59.055697+00:00,1.1783,0.0014,230631.85230500004,226685.6122310001,-0.0005940762348473,-0.0007638122770003,-0.0008486803271807,-0.0009335483191534,-0.0010184163693338,-0.00135788845364,-0.0015276245540007,-0.0016124926041811,-0.0020368327386677,-0.0021217006724327,-0.0025460408069193,-0.0033098531421273,-0.0034795892424881,-0.0038190614432096,-0.004582873545587,383.8999938964844,17240.109375,17240.119140625,9117.33984375,550.5999755859375,588.3499755859375,497.510009765625,1000.0,1000.0,533.8099975585938,2084.1201171875,1559.18994140625,3353.4599609375,17993.1796875,68.02999877929688,2912.199951171875,0.0,4473.740234375,1000.0,0.0,31779.439453125,13445.990234375,0.0,0.0,32720.419921875,49779.828125,0.0,0.0,0.0,9190.2197265625,3296.10009765625,17240.109375,21713.859375,10117.33984375,550.5999755859375,32367.7890625,13943.5,1000.0,1000.0,33254.23046875,51863.9609375,1559.18994140625,3353.4599609375,17993.1796875,9258.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005940762348473,0.00067894422682,0.0007638122770003,0.0008486803271807,0.0011032844195142,0.0011881524696946,0.0018670966383069,0.0021217006724327,0.0022065688390284,0.0023763049393892,0.0025460408069193,0.0029703809414058,0.0030552491080015,0.0031401170417666,0.0037341932766139,589.5,2240.2900390625,21284.560546875,546.1500244140625,3002.89990234375,1000.0,807.4600219726562,807.6699829101562,446.3800048828125,807.8699951171875,8173.0498046875,10248.8798828125,768.239990234375,5486.3701171875,1576.6199951171875,0.0,0.0,0.0,2240.669921875,0.0,0.0,0.0,0.0,0.0,0.0,808.010009765625,0.0,0.0,0.0,0.0,589.5,2240.2900390625,21284.560546875,2786.820068359375,3002.89990234375,1000.0,807.4600219726562,807.6699829101562,446.3800048828125,807.8699951171875,8981.0595703125,10248.8798828125,768.239990234375,5486.3701171875,1576.6199951171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2021-04-07 11:52:59.055697+00:00,1.1815,0.001,192260.072673,142677.80685099994,-0.0004231908533256,-0.0005078290123492,-0.0011002962710335,-0.0011849344009533,-0.0012695725308731,-0.0015234870370477,-0.0016927634133026,-0.0018620397895574,-0.0019466779194772,-0.0020313160493969,-0.0021159541793167,-0.0022852306719869,-0.0023698688019067,-0.0024545069318264,-0.0025391450617462,2243.89990234375,1071.4200439453125,550.719970703125,20710.75,118.0,758.4299926757812,1000.0,589.6500244140625,550.719970703125,208.5,805.260009765625,22840.759765625,9433.7099609375,804.97998046875,9497.8095703125,0.0,0.0,0.0,0.0,0.0,0.0,21458.640625,22052.91015625,0.0,44594.9296875,2802.449951171875,0.0,1563.469970703125,0.0,806.0900268554688,2243.89990234375,1071.4200439453125,550.719970703125,20710.75,118.0,758.4299926757812,22458.650390625,22642.560546875,550.719970703125,45038.26953125,3607.699951171875,22840.759765625,10997.1904296875,804.97998046875,10303.91015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.83999633789065,0.0,0.0,0.0,0.0,0.0,0.0004231908533256,0.0008463817066513,0.0009310198947787,0.0011002962710335,0.0012695725308731,0.0013542107772082,0.0015234870370477,0.0016081252833828,0.0017774016596376,0.0021159541793167,0.0022852306719869,0.0024545069318264,0.0036394414491951,0.0037240795791149,0.0038087177090346,4248.06982421875,8825.419921875,20754.630859375,10165.0498046875,807.989990234375,5117.4599609375,2597.340087890625,20045.529296875,808.4000244140625,5815.81005859375,1186.5699462890625,2874.419921875,7835.14990234375,3261.260009765625,18180.189453125,0.0,0.0,0.0,807.8499755859375,0.0,1000.0,9884.7998046875,0.0,0.0,371.7799987792969,15586.5498046875,17718.380859375,0.0,0.0,0.0,4248.06982421875,8825.419921875,20754.630859375,10972.91015625,807.989990234375,6117.47021484375,12482.150390625,20045.529296875,808.4000244140625,6187.580078125,16773.119140625,20592.80078125,7835.14990234375,3261.260009765625,18180.189453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2021-04-07 11:57:59.055697+00:00,1.1933,0.0012,189538.50833899985,370297.5679410003,-0.0005028073210269,-0.000586608541198,-0.000754211039748,-0.0008380122599191,-0.0009218134800903,-0.0010056146420538,-0.0010894158622249,-0.0012570183025673,-0.0013408195227384,-0.0016760245198383,-0.0017598257400095,-0.0019274281803518,-0.0020950306206941,-0.0023464341647922,-0.0025140366051346,2266.1298828125,1071.4200439453125,20926.619140625,550.8200073242188,1907.52001953125,1758.550048828125,1484.6700439453125,550.8099975585938,1504.780029296875,1481.6800537109375,1997.02001953125,805.1199951171875,804.97998046875,2318.81005859375,23.809999465942383,0.0,0.0,1101.6300048828125,0.0,550.8200073242188,2997.949951171875,0.0,2275.110107421875,418.239990234375,969.5999755859376,805.25,0.0,0.0,2758.010009765625,0.0,2266.1298828125,1071.4200439453125,22028.25,550.8200073242188,2458.340087890625,4756.5,1484.6700439453125,2825.919921875,1923.02001953125,2451.280029296875,2802.27001953125,805.1199951171875,804.97998046875,5076.81982421875,23.809999465942383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005028073210269,0.0006704097613692,0.0008380122599191,0.0009218134800903,0.0010056146420538,0.0010894158622249,0.0011732170823961,0.0014246207429096,0.001508422079496,0.0016760245198383,0.0017598257400095,0.0018436269601806,0.0019274281803518,0.0020950306206941,0.0021788317244499,3619.52001953125,5761.4599609375,15.140000343322754,31859.080078125,5589.56005859375,13596.1796875,836.2899780273438,5431.27978515625,1000.0,19130.779296875,20048.6796875,808.1599731445312,8062.43017578125,15.140000343322754,809.6199951171875,24307.060546875,37388.66015625,10699.9501953125,0.0,3001.909912109375,75955.6484375,45658.8515625,0.0,0.0,0.0,16212.83984375,0.0,7173.60009765625,97492.578125,0.0,28710.26953125,43150.12109375,10699.9501953125,31859.080078125,8591.4697265625,86654.9296875,45658.8515625,5431.27978515625,1000.0,19130.779296875,36254.33984375,808.1599731445312,15236.0302734375,97492.578125,809.6199951171875,783.6900024414062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2021-04-07 12:02:59.055697+00:00,1.18365,0.0011,162206.20290299997,106921.546624,-0.0004646643938031,-0.0005491488263942,-0.0008026020950637,-0.0008870865567587,-0.0010560554219409,-0.0012250243453308,-0.0013095086906105,-0.0013939931523054,-0.0015629620756953,-0.001647446420975,-0.0017319308826699,-0.0019853841513395,-0.0021543530747294,-0.0022388375364243,-0.0024078064598143,1668.8499755859375,4044.639892578125,550.8200073242188,20754.630859375,806.4000244140625,758.5599975585938,1579.9200439453125,2066.889892578125,6399.35986328125,1000.0,1038.260009765625,1517.530029296875,2075.639892578125,1607.4000244140625,21111.83984375,0.0,61808.69140625,0.0,752.0399780273438,0.0,0.0,1309.3800048828125,577567.1875,2696.8701171875,0.0,0.0,0.0,0.0,134782.90625,1000.0,2247.889892578125,61808.69140625,550.8200073242188,21506.669921875,806.4000244140625,758.5599975585938,2889.300048828125,579565.5,9096.23046875,1000.0,1038.260009765625,1517.530029296875,2075.639892578125,136272.203125,22111.83984375,579.0399780273438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004646643938031,0.0005491488263942,0.0007181176915764,0.0008870865567587,0.000971570960246,0.0010560554219409,0.0011405398836359,0.0012250243453308,0.0013939931523054,0.0017319308826699,0.0018164153443649,0.0019008998060598,0.0019853841513395,0.0024078064598143,0.0024922906886786,3306.050048828125,473.7200012207031,3518.89990234375,7108.2001953125,808.030029296875,1479.4300537109375,811.7100219726562,1522.0400390625,808.3699951171875,12119.0498046875,5250.1298828125,30418.900390625,1000.0,3744.43994140625,1794.1400146484375,0.0,7105.7998046875,3001.9599609375,3001.9599609375,0.0,0.0,3002.0,0.0,0.0,12808.51953125,10625.2099609375,0.0,0.0,3189.429931640625,53108.44921875,3326.050048828125,7579.52001953125,6520.85986328125,10110.16015625,808.030029296875,1479.4300537109375,3813.7099609375,1522.0400390625,808.3699951171875,24927.580078125,15875.33984375,30418.900390625,1000.0,6933.8701171875,54902.58984375,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2021-04-07 12:07:59.055697+00:00,1.17695,0.0011,136278.07346400002,200434.75763500013,-0.0004673095827456,-0.0006372403004206,-0.0008071711054071,-0.000977101852186,-0.0010620672255754,-0.0015718594659119,-0.0016568248393014,-0.0017417902126908,-0.0018267555860802,-0.0020816517062485,-0.0022515824530273,-0.0023365479428321,-0.0024215131998062,-0.0025064786896109,-0.0026764094363898,22880.98046875,805.7000122070312,11323.0,1563.72998046875,550.6400146484375,117.51000213623048,26956.91015625,5373.18994140625,21445.9609375,1478.949951171875,4343.31005859375,1775.3900146484375,7675.0400390625,293.5,29.350000381469727,805.8300170898438,0.0,5782.68994140625,0.0,139.5,7640.5,27347.009765625,0.0,5098.06005859375,0.0,127049.8125,1000.0,2959.110107421875,63125.0390625,28974.609375,23686.810546875,805.7000122070312,17105.6796875,1563.72998046875,690.1400146484375,7758.009765625,54303.921875,5373.18994140625,26544.01953125,1478.949951171875,128545.4375,2775.389892578125,10634.150390625,63125.0390625,29003.94921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004673095827456,0.0005522749270312,0.0008921364787966,0.0010620672255754,0.0014019287191331,0.0014868940925225,0.0015718594659119,0.0016568248393014,0.0017417902126908,0.0018267555860802,0.0020816517062485,0.0024215131998062,0.0025064786896109,0.002591443946585,0.0029313054401427,1239.75,588.7999877929688,3001.77001953125,807.0700073242188,2231.429931640625,4594.08984375,2003.9599609375,54044.87890625,3303.550048828125,7074.60009765625,1507.5999755859375,5362.18994140625,5438.1201171875,20048.349609375,4.539999961853027,0.0,0.0,589.0,3001.840087890625,807.3400268554688,6740.56005859375,29124.560546875,13781.150390625,34358.41015625,0.0,16996.9296875,6004.10986328125,3810.159912109375,0.0,7082.39990234375,2237.25,588.7999877929688,3590.77001953125,3808.909912109375,3038.77001953125,11334.650390625,31128.51953125,67826.03125,37661.94921875,7074.60009765625,18504.5390625,11366.2998046875,9248.2802734375,20048.349609375,7086.93994140625,997.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2021-04-07 12:12:59.055697+00:00,1.16835,0.0013,178228.9297369999,160831.60836300006,-0.0005563401500694,-0.0006419309065677,-0.0009842941071838,-0.0011554756201803,-0.0013266572495922,-0.0014978388790041,-0.0015834296355023,-0.0016690203920006,-0.0018402020214125,-0.0020113836508244,-0.0021825651638209,-0.0023537466768175,-0.0024393375497311,-0.0025249284226447,-0.0026105190627276,1985.0899658203125,2998.14990234375,1071.4200439453125,20772.599609375,758.4600219726562,550.75,1997.9200439453125,10689.2998046875,1.4500000476837158,626.52001953125,1981.8599853515625,21533.220703125,3031.510009765625,1512.3699951171875,6016.14013671875,0.0,0.0,0.0,39515.4609375,0.0,0.0,0.0,0.0,103135.3203125,76077.921875,0.0,7713.93994140625,80893.8671875,1610.5799560546875,0.0,1985.0899658203125,2998.14990234375,1071.4200439453125,58418.53125,758.4600219726562,550.75,1997.9200439453125,10689.2998046875,103136.7734375,76112.8984375,1981.8599853515625,29247.169921875,83726.078125,3122.9599609375,6016.14013671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005563401500694,0.0006419309065677,0.0008131125359795,0.0008987032924778,0.0009842941071838,0.0011554756201803,0.0014978388790041,0.0015834296355023,0.0016690203920006,0.0017546111484989,0.0019257927779108,0.0020113836508244,0.0020969742909073,0.0021825651638209,0.0024393375497311,1968.9100341796875,7.199999809265137,6908.47998046875,267.1300048828125,2003.1199951171875,5127.22021484375,31353.33984375,10660.9697265625,1520.68994140625,808.75,20865.990234375,1000.0,8562.8798828125,741.5700073242188,2247.7099609375,0.0,0.0,1987.81005859375,4990.18017578125,0.0,10190.599609375,0.0,0.0,5459.7099609375,0.0,0.0,31369.419921875,1657.010009765625,10200.150390625,0.0,1987.300048828125,7.199999809265137,8896.2900390625,5257.31005859375,2003.1199951171875,15317.8203125,31353.33984375,10660.9697265625,7097.419921875,808.75,20865.990234375,32369.419921875,10219.8896484375,10941.7197265625,2247.7099609375,18.38999938964844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.02999877929688,0.0,0.0,0.0,0.0,0.0,0.0
8,2021-04-07 12:17:59.055697+00:00,1.17715,0.0007,400870.12007700006,213476.010772,-0.0002973282826133,-0.0003822792205028,-0.0004672301874961,-0.0005521810962818,-0.0007220829720608,-0.0008070339099504,-0.0008919849060475,-0.000976935843937,-0.0010618867818266,-0.0016565433470532,-0.0017414942849427,-0.0018264452228322,-0.0019113961607217,-0.0021662490908056,-0.0024211017880588,2000.56005859375,2997.14990234375,1071.4200439453125,20647.580078125,806.9400024414062,253.88999938964844,806.7999877929688,550.780029296875,806.6699829101562,758.5,29622.669921875,10479.48046875,5047.77001953125,587.2999877929688,361.6799926757813,0.0,0.0,2000.219970703125,2997.14990234375,0.0,27443.529296875,0.0,0.0,0.0,550.780029296875,0.0,550.780029296875,18396.94921875,0.0,0.0,2000.56005859375,2997.14990234375,3071.639892578125,23644.720703125,806.9400024414062,27697.4296875,806.7999877929688,550.780029296875,806.6699829101562,1309.280029296875,29622.669921875,11030.26953125,23444.720703125,587.2999877929688,361.6799926757813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002973282826133,0.0006371320341713,0.0007220829720608,0.0008919849060475,0.000976935843937,0.0010618867818266,0.0012317886576056,0.0014866414712741,0.0016565433470532,0.0019113961607217,0.0023361509665846,0.0024211017880588,0.0025060528423637,0.0025910036638379,0.0026759547181427,17631.33984375,2002.4300537109373,808.1099853515625,808.25,2002.7900390625,808.3800048828125,2003.6199951171875,20054.140625,7731.419921875,707.6400146484375,1000.0,10650.2197265625,1784.31005859375,5364.009765625,20637.58984375,4003.5,0.0,0.0,0.0,1496.8800048828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1129.6199951171875,0.0,22037.5703125,2002.4300537109373,808.1099853515625,808.25,3499.669921875,808.3800048828125,2003.6199951171875,20054.140625,7731.419921875,707.6400146484375,1000.0,10650.2197265625,1784.31005859375,6493.6298828125,20637.58984375,402.7300109863281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2021-04-07 12:22:59.055697+00:00,1.1745,0.0006,205050.855769,154931.05023199995,-0.0002554278471507,-0.0004257130785845,-0.0009365687728859,-0.0010217113886028,-0.001106853946112,-0.0012771391775459,-0.0013622818514704,-0.0015325670829042,-0.0016177096404135,-0.0019582801032811,-0.0020434227772057,-0.0021285654511302,-0.0022137078922241,-0.0023839932400733,-0.0024691359139978,1050.3299560546875,2055.669921875,806.1300048828125,13958.5595703125,24393.400390625,1564.3499755859375,68.02999877929688,13498.4501953125,1000.010009765625,1955.989990234375,2083.39990234375,396.1400146484375,9176.599609375,1518.239990234375,5203.83984375,1996.1400146484373,307740.96875,2997.7099609375,7607.5,9798.75,805.8499755859375,3784.489990234375,0.0,520.9600219726562,0.0,0.0,0.0,414.8500061035156,0.0,0.0,3067.56005859375,308293.8125,3803.830078125,21566.060546875,34192.1484375,2370.199951171875,3852.52001953125,13498.4501953125,1520.969970703125,1955.989990234375,2083.39990234375,396.1400146484375,9591.4501953125,1518.239990234375,5203.83984375,21.09000015258789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002554278471507,0.0004257130785845,0.0005959983100183,0.0006811409257352,0.0007662835414521,0.0009365687728859,0.0010217113886028,0.0011919966200366,0.0012771391775459,0.0014474244089797,0.0015325670829042,0.0016177096404135,0.001702852314338,0.0017879948718473,0.0020434227772057,20617.740234375,1954.260009765625,2320.840087890625,2002.4300537109373,807.5,1484.8399658203125,3002.31005859375,1000.0,1067.0400390625,18127.58984375,25291.259765625,1503.5999755859375,8340.6796875,1504.0400390625,2000.72998046875,0.0,0.0,0.0,2422.2900390625,0.0,3230.550048828125,0.0,33254.76171875,53893.87890625,0.0,0.0,15379.1396484375,95965.609375,35466.2890625,18138.380859375,20617.740234375,3264.3798828125,2320.840087890625,4424.72021484375,807.5,4715.39013671875,3002.31005859375,34254.75,54960.921875,18127.58984375,25291.259765625,17749.390625,104306.2890625,36970.328125,20139.109375,0.0,1310.1199951171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,866.6500244140625,0.0,0.0,0.0
