dataset,accuracy,annualized_sharpe,cumulative_pnl,transaction_hit_rate
Crypto_BTC_USDT,0.4238782051282051,-367.3888277616495,-1312.094245798335,0.0
Crypto_ETH_USDT,0.3517628205128205,-454.1434344542449,-52.340351642218955,0.0
FI2010_Benchmark,0.4272959183673469,-119.8587913563207,-7.216352640076351,0.3840733411978174
