dataset,model,mean_latency_ms,median_latency_ms,p95_latency_ms,p99_latency_ms,throughput_samples_per_sec
FI2010_Benchmark,Logistic_Regression,0.09401600003911881,0.09239999963028822,0.11026499996660276,0.16632999960165865,10636.374268312302
FI2010_Benchmark,Random_Forest,18.663990000031845,17.28224999988015,28.48194999928637,29.45845400001419,53.57910856248772
FI2010_Benchmark,XGBoost_GBDT,0.668078999970021,0.6410000000869331,0.8117849997688609,0.8682469999985223,1496.826727405211
FI2010_Benchmark,Kernel_SVM,0.11029700006474741,0.10200000042459578,0.1557099996261968,0.16244599983110683,9066.347525911417
FI2010_Benchmark,DeepLOB_Spatial_CNN,0.3156329999637819,0.2652500002113811,0.6319900000107737,0.8867070005726422,3168.2264905388747
FI2010_Benchmark,DeepLOB_CNN_LSTM,0.817750000005617,0.7081500002641405,1.242724999838174,1.4215390005847457,1222.8661291678409
FI2010_Benchmark,LiT_Transformer,0.9292790000290552,0.8216000001084467,1.6314450004301757,2.109829999499199,1076.1019283410099
Crypto_BTC_USDT,Logistic_Regression,0.07551100002274325,0.06710000025123009,0.09941000016624457,0.118623000844309,13242.928272311856
Crypto_BTC_USDT,Random_Forest,23.90980000000127,27.49100000028193,32.41188499978307,33.767975000673694,41.82385290450334
Crypto_BTC_USDT,XGBoost_GBDT,0.6591350000053353,0.6448499998441548,0.9930299996085522,1.1205690004680977,1517.1375861611345
Crypto_BTC_USDT,Kernel_SVM,0.20896099998935824,0.20569999969666242,0.25872999985949713,0.30485499955830186,4785.5590971130005
Crypto_BTC_USDT,DeepLOB_Spatial_CNN,0.3797539999777655,0.3670999994938029,0.5361050003102719,0.5544999996072875,2633.2767180380765
Crypto_BTC_USDT,DeepLOB_CNN_LSTM,1.1849870000423834,1.1969499996666855,1.7612099994039454,1.8119549999482847,843.8904022354936
Crypto_BTC_USDT,LiT_Transformer,1.438942000058887,1.382499999635911,1.8470199999683243,2.1754030001739153,694.9545603676283
Crypto_ETH_USDT,Logistic_Regression,0.0808790000701265,0.07900000036897836,0.0929099998302263,0.10701999985030854,12363.99603280114
Crypto_ETH_USDT,Random_Forest,31.28918799996427,31.03980000014417,41.89228500076751,53.704583999506255,31.959920725370733
Crypto_ETH_USDT,XGBoost_GBDT,0.8756080000421207,0.8186999998542888,1.235240000369231,1.9675730004200893,1142.0622674640113
Crypto_ETH_USDT,Kernel_SVM,0.21537400008128316,0.21400000014182297,0.2519600005598477,0.27163000032487666,4643.064420766556
Crypto_ETH_USDT,DeepLOB_Spatial_CNN,0.5572959999881277,0.5579000003308465,0.8621349994427874,0.9297810002772191,1794.375351062904
Crypto_ETH_USDT,DeepLOB_CNN_LSTM,1.0734719999436493,1.1439999998401618,1.3220499993167323,1.425955000231625,931.5558007071384
Crypto_ETH_USDT,LiT_Transformer,1.0682189999897673,1.1241499996685889,1.346794999562917,1.443290000106572,936.1367508655326
