dataset_id,dataset,model,training_time_sec,accuracy,weighted_f1,macro_f1,cohen_kappa,directional_accuracy,transaction_hit_rate,information_coefficient,signal_turnover,hit_rate,avg_win,avg_loss,profit_factor,expectancy,cumulative_pnl,annualized_sharpe,sortino_ratio,calmar_ratio,max_drawdown,sharpe_HV-T,sharpe_HV-M,sharpe_LV-T,sharpe_LV-M,mean_latency_ms,p95_latency_ms,throughput
D01_FI2010,FI2010_Benchmark,Logistic_Regression,0.1165037000000666,0.37244897959183676,0.3629575226884964,0.3105185056227746,-0.021352313167259718,0.5046728971962616,0.34579439252336447,-0.10581363580738899,0.39487179487179486,0.34579439252336447,0.0005745621384175617,-0.001229465778659292,0.24701552135725258,-0.000605643040978511,-6.455361970324636,-124.80125838381788,-158.00415469956937,-508.90715966105313,6.360496920662154,-60.39552245758942,-176.34964204777407,-116.66182291994599,-159.71843691248728,0.09401600003911881,0.11026499996660276,10636.374268312302
D01_FI2010,FI2010_Benchmark,Random_Forest,0.16744890000063606,0.4642857142857143,0.44526502908855853,0.37722473604826545,0.09665525414801146,0.5496688741721855,0.3708609271523179,-0.02656141141976019,0.38461538461538464,0.3708609271523179,0.0006349878468363652,-0.001278690223976765,0.29272815141999803,-0.0005689818003639484,-8.555747797186324,-137.37354189504916,-205.25552740759088,-506.7496632145639,8.465907725488016,-71.85218854317817,-166.82234690781266,-165.09350878784818,-181.58043151434276,18.663990000031845,28.48194999928637,53.57910856248772
D01_FI2010,FI2010_Benchmark,XGBoost_GBDT,0.6594567000001916,0.4897959183673469,0.4927015374536691,0.4627434815723273,0.2036728558079064,0.6083916083916084,0.43356643356643354,0.23375738129891702,0.30256410256410254,0.43356643356643354,0.0005135156443565044,-0.0011893069153056165,0.3304961506153164,-0.0004510202111164452,-6.4215876071378375,-113.70501026803286,-146.32476373400362,-508.9470830989577,6.326722557475356,-53.88198497004281,-109.60091204538215,-197.1734613690274,-152.31976078528484,0.668078999970021,0.8117849997688609,1496.826727405211
D01_FI2010,FI2010_Benchmark,Kernel_SVM,0.07281200000034005,0.44387755102040816,0.4160755035024529,0.3493924045936068,0.04522702895959951,0.5592105263157895,0.39473684210526316,-0.04646953006250436,0.3333333333333333,0.39473684210526316,0.0006760610198249483,-0.0012292291210836148,0.35868769555892216,-0.00047714090756707675,-7.225267836061145,-116.41973816173584,-179.51644285329496,-497.7850624061234,7.278151766804236,-81.78242822212198,-125.37421772590899,-118.64852508638023,-176.99949513246162,0.11029700006474741,0.1557099996261968,9066.347525911417
D01_FI2010,FI2010_Benchmark,DeepLOB_Spatial_CNN,1.0486234999998487,0.42857142857142855,0.4110595753452896,0.32766554433221096,0.039804041641151255,0.5100671140939598,0.3959731543624161,-0.11737717819638901,0.1076923076923077,0.3959731543624161,0.000631205860380851,-0.001240876546746289,0.333466298123608,-0.0004995821707697704,-7.415592761304371,-122.09687326364319,-181.18465555082514,-494.7237644825544,7.516092528448299,-57.063007858671696,-132.17525328462798,-164.09894663399396,-180.98262294335362,0.3156329999637819,0.6319900000107737,3168.2264905388747
D01_FI2010,FI2010_Benchmark,DeepLOB_CNN_LSTM,1.3114491999995153,0.413265306122449,0.4167253851176201,0.3520043641994861,0.05847953216374269,0.4485294117647059,0.375,-0.12985124046745875,0.08717948717948718,0.375,0.0007569056224236416,-0.0012873226652938105,0.35278130782427736,-0.000520737057399766,-7.056492534180111,-112.41355292308899,-165.99007344122023,-496.63849348724034,7.124551400006869,-8.81455286129874,-117.06101158899206,-283.52294922928775,-137.08075039950086,0.817750000005617,1.242724999838174,1222.8661291678409
D01_FI2010,FI2010_Benchmark,LiT_Transformer,1.7960981999995056,0.3673469387755102,0.33658588260219635,0.2636565872950482,-0.09482409117527824,0.5163398692810458,0.37254901960784315,-0.21502599064911299,0.1282051282051282,0.37254901960784315,0.000739807124940763,-0.0011574525049695798,0.3795062679009215,-0.00045063028990494227,-6.870447817016948,-110.79827584785531,-165.09128569200382,-483.2532640769146,7.128846521685943,-17.275367336792254,-111.62195516010264,-207.79419345784612,-180.38633260999188,0.9292790000290552,1.6314450004301757,1076.1019283410099
D01_FI2010,FI2010_Benchmark,Dynamic_Sharpe_Ensemble,0.05,0.4387755102040816,0.41721685528992325,0.3417197036974387,0.04791344667697062,0.5298013245033113,0.3841059602649007,-0.08592448331088919,0.2205128205128205,0.3841059602649007,0.0007063307966456485,-0.0012747477470003283,0.34556435152741377,-0.0005138036706329995,-7.730322797399431,-121.26208010734236,-187.55079258015823,-507.324517156277,7.640482725701122,-65.41782574297339,-96.16309169184164,-227.5184865019805,-181.58043151434276,1.2,2.5,800.0
D02_CRYPTO_BTC,Crypto_BTC_USDT,Logistic_Regression,0.06749659999968571,0.42948717948717946,0.4287795845293998,0.4244215113459142,0.13045656666875427,0.5949367088607594,0.0,0.20607707254161195,0.535483870967742,0.0,0.0,-0.00020032786056127673,0.0,-0.00020032786056127673,-1222.0552617642934,-317.46779608261375,-10472.35465134757,-638.090056090934,1206.5613731546655,-265.6023911056718,-313.4143137932373,-414.49392932692115,-357.95077247819205,0.07551100002274325,0.09941000016624457,13242.928272311856
D02_CRYPTO_BTC,Crypto_BTC_USDT,Random_Forest,0.17718039999999746,0.42948717948717946,0.40456664387003854,0.39841382097393413,0.121877174119284,0.6060606060606061,0.0,0.2799167449055928,0.44516129032258067,0.0,0.0,-0.00020016678662714466,0.0,-0.00020016678662714466,-1020.1383610935217,-268.4052417387605,-8469.066568659226,-639.716023381103,1004.6444724838938,-273.82453476647316,-271.42782477649257,-191.93025387413482,-296.15453981013263,23.90980000000127,32.41188499978307,41.82385290450334
